Rule: ('2.0', 'St') ==> ('otc alterations permit', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('2.0', 'St') ==> ('8', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('2.0', 'St') ==> ('', 'otc alterations permit', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('', '2.0', 'St') ==> ('otc alterations permit', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('2.0', 'St') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.502,lift: 1.000
Rule: ('2.0', 'St') ==> ('', '8', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('', '2.0', 'St') ==> ('8', 'complete')	 , confidence: 0.502,lift: 1.105
Rule: ('2.0', 'St') ==> ('', 'otc alterations permit', 'complete', '8')	 , confidence: 0.502,lift: 1.000
Rule: ('', '2.0', 'St') ==> ('otc alterations permit', 'complete', '8')	 , confidence: 0.502,lift: 1.000
Rule: ('otc alterations permit', 'St') ==> ('wood frame (5)',)	 , confidence: 0.503,lift: 0.864
Rule: ('8', 'St') ==> ('wood frame (5)',)	 , confidence: 0.503,lift: 0.864
Rule: ('otc alterations permit', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('otc alterations permit', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('8', 'St') ==> ('otc alterations permit', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('otc alterations permit', 'St') ==> ('8', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('8', 'St', 'otc alterations permit') ==> ('wood frame (5)',)	 , confidence: 0.503,lift: 0.864
Rule: ('8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('8', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('otc alterations permit', 'St') ==> ('5.0', '8', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('8', 'St') ==> ('5.0', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('otc alterations permit', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('8', 'St') ==> ('', '5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('otc alterations permit', 'St') ==> ('', '8', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('8', 'St') ==> ('', 'otc alterations permit', 'wood frame (5)')	 , confidence: 0.503,lift: 0.978
Rule: ('otc alterations permit', '8', 'St') ==> ('', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
Rule: ('otc alterations permit', 'St') ==> ('5.0', '', 'wood frame (5)')	 , confidence: 0.503,lift: 1.000
Rule: ('otc alterations permit', 'St') ==> ('5.0', '', 'wood frame (5)', '8')	 , confidence: 0.503,lift: 1.000
Rule: ('8', 'St') ==> ('5.0', '', 'wood frame (5)', 'otc alterations permit')	 , confidence: 0.503,lift: 1.000
Rule: ('otc alterations permit', '8', 'St') ==> ('5.0', '', 'wood frame (5)')	 , confidence: 0.503,lift: 1.000
Rule: ('', 'otc alterations permit', 'St') ==> ('wood frame (5)',)	 , confidence: 0.503,lift: 0.864
Rule: ('', '8', 'St') ==> ('wood frame (5)',)	 , confidence: 0.503,lift: 0.864
Rule: ('', '8', 'St') ==> ('5.0', 'wood frame (5)')	 , confidence: 0.503,lift: 0.864
